"","date","cases"
"1",2020-03-08,3
"2",2020-03-09,1
"3",2020-03-10,1
"4",2020-03-11,1
"5",2020-03-12,1
"6",2020-03-13,1
"7",2020-03-14,1
"8",2020-03-15,1
"9",2020-03-16,1
"10",2020-03-17,2
"11",2020-03-18,2
"12",2020-03-19,2
"13",2020-03-20,2
"14",2020-03-21,2
"15",2020-03-22,3
"16",2020-03-23,3
"17",2020-03-24,3
"18",2020-03-25,4
"19",2020-03-26,4
"20",2020-03-27,5
"21",2020-03-28,5
"22",2020-03-29,6
"23",2020-03-30,6
"24",2020-03-31,8
"25",2020-04-01,9
"26",2020-04-02,12
"27",2020-04-03,14
"28",2020-04-04,18
"29",2020-04-05,23
"30",2020-04-06,28
"31",2020-04-07,38
"32",2020-04-08,48
"33",2020-04-09,60
"34",2020-04-10,74
"35",2020-04-11,89
"36",2020-04-12,109
"37",2020-04-13,133
"38",2020-04-14,153
"39",2020-04-15,183
"40",2020-04-16,217
"41",2020-04-17,249
"42",2020-04-18,279
"43",2020-04-19,314
"44",2020-04-20,338
"45",2020-04-21,362
"46",2020-04-22,385
"47",2020-04-23,390
"48",2020-04-24,425
"49",2020-04-25,445
"50",2020-04-26,474
"51",2020-04-27,519
"52",2020-04-28,543
"53",2020-04-29,582
"54",2020-04-30,611
"55",2020-05-01,641
"56",2020-05-02,667
"57",2020-05-03,714
"58",2020-05-04,731
"59",2020-05-05,776
"60",2020-05-06,844
"61",2020-05-07,865
"62",2020-05-08,917
"63",2020-05-09,957
"64",2020-05-10,1005
"65",2020-05-11,1046
"66",2020-05-12,1070
"67",2020-05-13,1146
"68",2020-05-14,1201
"69",2020-05-15,1262
"70",2020-05-16,1301
"71",2020-05-17,1395
"72",2020-05-18,1497
"73",2020-05-19,1503
"74",2020-05-20,1591
"75",2020-05-21,1657
"76",2020-05-22,1817
"77",2020-05-23,1913
"78",2020-05-24,1892
"79",2020-05-25,1843
"80",2020-05-26,1900
"81",2020-05-27,1958
"82",2020-05-28,2018
"83",2020-05-29,2080
"84",2020-05-30,2144
"85",2020-05-31,2210
"86",2020-06-01,2278
"87",2020-06-02,2348
"88",2020-06-03,2421
"89",2020-06-04,2495
"90",2020-06-05,2572
"91",2020-06-06,2651
"92",2020-06-07,2732
"93",2020-06-08,2816
"94",2020-06-09,2903
"95",2020-06-10,2992
"96",2020-06-11,3084
"97",2020-06-12,3179
"98",2020-06-13,3276
"99",2020-06-14,3377
"100",2020-06-15,3481
"101",2020-06-16,3588
"102",2020-06-17,3698
"103",2020-06-18,3812
"104",2020-06-19,3929
"105",2020-06-20,4049
"106",2020-06-21,4174
"107",2020-06-22,4302
"108",2020-06-23,4434
"109",2020-06-24,4570
"110",2020-06-25,4710
"111",2020-06-26,4854
"112",2020-06-27,5003
"113",2020-06-28,5157
"114",2020-06-29,5315
"115",2020-06-30,5478
"116",2020-07-01,5646
"117",2020-07-02,5819
"118",2020-07-03,5997
"119",2020-07-04,6181
"120",2020-07-05,6370
"121",2020-07-06,6565
"122",2020-07-07,6766
"123",2020-07-08,6973
"124",2020-07-09,7187
"125",2020-07-10,7407
"126",2020-07-11,7633
"127",2020-07-12,7867
"128",2020-07-13,8107
"129",2020-07-14,8355
"130",2020-07-15,8611
"131",2020-07-16,8874
"132",2020-07-17,9145
"133",2020-07-18,9424
"134",2020-07-19,9712
"135",2020-07-20,10008
"136",2020-07-21,10313
"137",2020-07-22,10628
"138",2020-07-23,10952
"139",2020-07-24,11286
"140",2020-07-25,11629
"141",2020-07-26,11984
"142",2020-07-27,12348
"143",2020-07-28,12724
"144",2020-07-29,13111
"145",2020-07-30,13510
"146",2020-07-31,13921
"147",2020-08-01,14344
"148",2020-08-02,14779
"149",2020-08-03,15228
"150",2020-08-04,15690
"151",2020-08-05,16166
"152",2020-08-06,16656
"153",2020-08-07,17160
"154",2020-08-08,17680
"155",2020-08-09,18215
"156",2020-08-10,18766
"157",2020-08-11,19333
"158",2020-08-12,19917
"159",2020-08-13,20518
"160",2020-08-14,21137
"161",2020-08-15,21775
"162",2020-08-16,22431
"163",2020-08-17,23106
"164",2020-08-18,23801
"165",2020-08-19,24517
"166",2020-08-20,25253
"167",2020-08-21,26011
"168",2020-08-22,26792
"169",2020-08-23,27594
"170",2020-08-24,28421
"171",2020-08-25,29271
"172",2020-08-26,30145
"173",2020-08-27,31046
"174",2020-08-28,31972
"175",2020-08-29,32924
"176",2020-08-30,33904
"177",2020-08-31,34912
"178",2020-09-01,35949
"179",2020-09-02,37016
"180",2020-09-03,38113
"181",2020-09-04,39241
"182",2020-09-05,40401
"183",2020-09-06,41593
"184",2020-09-07,42820
"185",2020-09-08,44080
"186",2020-09-09,45376
"187",2020-09-10,46708
"188",2020-09-11,48077
"189",2020-09-12,49485
"190",2020-09-13,50931
"191",2020-09-14,52416
"192",2020-09-15,53943
"193",2020-09-16,55511
"194",2020-09-17,57122
"195",2020-09-18,58777
"196",2020-09-19,60476
"197",2020-09-20,62221
"198",2020-09-21,64012
"199",2020-09-22,65852
"200",2020-09-23,67740
"201",2020-09-24,69678
"202",2020-09-25,71667
"203",2020-09-26,73708
"204",2020-09-27,75801
"205",2020-09-28,77949
"206",2020-09-29,80152
"207",2020-09-30,82412
"208",2020-10-01,84728
"209",2020-10-02,87103
"210",2020-10-03,89538
"211",2020-10-04,92033
"212",2020-10-05,94589
"213",2020-10-06,97208
"214",2020-10-07,99891
"215",2020-10-08,102639
"216",2020-10-09,105452
"217",2020-10-10,108332
"218",2020-10-11,111279
"219",2020-10-12,114296
"220",2020-10-13,117382
"221",2020-10-14,120538
"222",2020-10-15,123765
"223",2020-10-16,127065
"224",2020-10-17,130438
"225",2020-10-18,133884
"226",2020-10-19,137405
"227",2020-10-20,141001
"228",2020-10-21,144672
"229",2020-10-22,148419
"230",2020-10-23,152244
"231",2020-10-24,156145
"232",2020-10-25,160123
"233",2020-10-26,164179
"234",2020-10-27,168313
"235",2020-10-28,172525
"236",2020-10-29,176815
"237",2020-10-30,181183
"238",2020-10-31,185628
"239",2020-11-01,190150
"240",2020-11-02,194750
"241",2020-11-03,199425
"242",2020-11-04,204177
"243",2020-11-05,209003
"244",2020-11-06,213903
"245",2020-11-07,218877
"246",2020-11-08,223922
"247",2020-11-09,229037
"248",2020-11-10,234222
"249",2020-11-11,239473
"250",2020-11-12,244791
"251",2020-11-13,250171
"252",2020-11-14,255614
"253",2020-11-15,261115
"254",2020-11-16,266673
"255",2020-11-17,272284
"256",2020-11-18,277947
"257",2020-11-19,283658
"258",2020-11-20,289413
"259",2020-11-21,295210
"260",2020-11-22,301045
"261",2020-11-23,306913
"262",2020-11-24,312812
"263",2020-11-25,318736
"264",2020-11-26,324682
"265",2020-11-27,330645
"266",2020-11-28,336620
"267",2020-11-29,342602
"268",2020-11-30,348586
"269",2020-12-01,354567
"270",2020-12-02,360540
"271",2020-12-03,366499
"272",2020-12-04,372438
"273",2020-12-05,378352
"274",2020-12-06,384234
"275",2020-12-07,390078
"276",2020-12-08,395878
"277",2020-12-09,401628
"278",2020-12-10,407321
"279",2020-12-11,412952
"280",2020-12-12,418512
"281",2020-12-13,423997
"282",2020-12-14,429399
"283",2020-12-15,434711
"284",2020-12-16,439927
"285",2020-12-17,445041
"286",2020-12-18,450045
"287",2020-12-19,454934
"288",2020-12-20,459700
"289",2020-12-21,464338
"290",2020-12-22,468841
"291",2020-12-23,473204
"292",2020-12-24,477420
"293",2020-12-25,481483
"294",2020-12-26,485388
"295",2020-12-27,489129
"296",2020-12-28,492701
"297",2020-12-29,496100
"298",2020-12-30,499320
"299",2020-12-31,502357
"300",2021-01-01,505207
"301",2021-01-02,507866
"302",2021-01-03,510330
"303",2021-01-04,512596
"304",2021-01-05,514661
"305",2021-01-06,516523
"306",2021-01-07,518178
"307",2021-01-08,519626
"308",2021-01-09,520864
"309",2021-01-10,521891
"310",2021-01-11,522707
"311",2021-01-12,523311
"312",2021-01-13,523702
"313",2021-01-14,523881
"314",2021-01-15,523848
"315",2021-01-16,523605
"316",2021-01-17,523152
"317",2021-01-18,522491
"318",2021-01-19,521624
"319",2021-01-20,520553
"320",2021-01-21,519281
"321",2021-01-22,517810
"322",2021-01-23,516144
"323",2021-01-24,514287
"324",2021-01-25,512241
"325",2021-01-26,510010
"326",2021-01-27,507600
"327",2021-01-28,505014
"328",2021-01-29,502257
"329",2021-01-30,499333
"330",2021-01-31,496248
"331",2021-02-01,493007
"332",2021-02-02,489615
"333",2021-02-03,486078
"334",2021-02-04,482400
"335",2021-02-05,478588
"336",2021-02-06,474647
"337",2021-02-07,470584
"338",2021-02-08,466403
"339",2021-02-09,462111
"340",2021-02-10,457713
"341",2021-02-11,453216
"342",2021-02-12,448625
"343",2021-02-13,443946
"344",2021-02-14,439185
"345",2021-02-15,434348
"346",2021-02-16,429440
"347",2021-02-17,424467
"348",2021-02-18,419435
"349",2021-02-19,414348
"350",2021-02-20,409213
"351",2021-02-21,404034
"352",2021-02-22,398817
"353",2021-02-23,393567
"354",2021-02-24,388289
"355",2021-02-25,382987
"356",2021-02-26,377667
"357",2021-02-27,372332
"358",2021-02-28,366988
"359",2021-03-01,361637
"360",2021-03-02,356285
"361",2021-03-03,350936
"362",2021-03-04,345593
"363",2021-03-05,340260
"364",2021-03-06,334940
"365",2021-03-07,329637
"366",2021-03-08,324354
"367",2021-03-09,319094
"368",2021-03-10,313860
"369",2021-03-11,308655
"370",2021-03-12,303481
"371",2021-03-13,298342
"372",2021-03-14,293238
"373",2021-03-15,288174
"374",2021-03-16,283149
"375",2021-03-17,278168
"376",2021-03-18,273231
"377",2021-03-19,268340
"378",2021-03-20,263497
"379",2021-03-21,258703
"380",2021-03-22,253959
"381",2021-03-23,249268
"382",2021-03-24,244630
"383",2021-03-25,240045
"384",2021-03-26,235516
"385",2021-03-27,231042
"386",2021-03-28,226625
"387",2021-03-29,222266
"388",2021-03-30,217964
"389",2021-03-31,213721
"390",2021-04-01,209536
"391",2021-04-02,205411
"392",2021-04-03,201345
"393",2021-04-04,197338
"394",2021-04-05,193392
"395",2021-04-06,189505
"396",2021-04-07,185678
"397",2021-04-08,181911
"398",2021-04-09,178204
