"","date","cases"
"1",2020-03-08,11
"2",2020-03-09,2
"3",2020-03-10,2
"4",2020-03-11,3
"5",2020-03-12,3
"6",2020-03-13,3
"7",2020-03-14,4
"8",2020-03-15,5
"9",2020-03-16,5
"10",2020-03-17,6
"11",2020-03-18,7
"12",2020-03-19,8
"13",2020-03-20,9
"14",2020-03-21,10
"15",2020-03-22,10
"16",2020-03-23,12
"17",2020-03-24,13
"18",2020-03-25,13
"19",2020-03-26,14
"20",2020-03-27,16
"21",2020-03-28,18
"22",2020-03-29,20
"23",2020-03-30,23
"24",2020-03-31,28
"25",2020-04-01,33
"26",2020-04-02,41
"27",2020-04-03,53
"28",2020-04-04,64
"29",2020-04-05,81
"30",2020-04-06,102
"31",2020-04-07,129
"32",2020-04-08,165
"33",2020-04-09,215
"34",2020-04-10,261
"35",2020-04-11,326
"36",2020-04-12,395
"37",2020-04-13,488
"38",2020-04-14,592
"39",2020-04-15,699
"40",2020-04-16,794
"41",2020-04-17,927
"42",2020-04-18,1030
"43",2020-04-19,1163
"44",2020-04-20,1262
"45",2020-04-21,1327
"46",2020-04-22,1453
"47",2020-04-23,1562
"48",2020-04-24,1649
"49",2020-04-25,1693
"50",2020-04-26,1798
"51",2020-04-27,1896
"52",2020-04-28,1982
"53",2020-04-29,2145
"54",2020-04-30,2292
"55",2020-05-01,2352
"56",2020-05-02,2437
"57",2020-05-03,2620
"58",2020-05-04,2761
"59",2020-05-05,2839
"60",2020-05-06,2921
"61",2020-05-07,3248
"62",2020-05-08,3310
"63",2020-05-09,3417
"64",2020-05-10,3669
"65",2020-05-11,3759
"66",2020-05-12,3955
"67",2020-05-13,4067
"68",2020-05-14,4293
"69",2020-05-15,4604
"70",2020-05-16,4829
"71",2020-05-17,4923
"72",2020-05-18,5171
"73",2020-05-19,5213
"74",2020-05-20,5641
"75",2020-05-21,6079
"76",2020-05-22,6220
"77",2020-05-23,6374
"78",2020-05-24,6760
"79",2020-05-25,6822
"80",2020-05-26,7017
"81",2020-05-27,7226
"82",2020-05-28,7644
"83",2020-05-29,8080
"84",2020-05-30,8246
"85",2020-05-31,8730
"86",2020-06-01,8741
"87",2020-06-02,9153
"88",2020-06-03,9525
"89",2020-06-04,9573
"90",2020-06-05,10273
"91",2020-06-06,10375
"92",2020-06-07,10498
"93",2020-06-08,10949
"94",2020-06-09,11165
"95",2020-06-10,11376
"96",2020-06-11,11577
"97",2020-06-12,11948
"98",2020-06-13,11891
"99",2020-06-14,12188
"100",2020-06-15,12779
"101",2020-06-16,12641
"102",2020-06-17,12857
"103",2020-06-18,13200
"104",2020-06-19,13299
"105",2020-06-20,13341
"106",2020-06-21,13553
"107",2020-06-22,13627
"108",2020-06-23,13910
"109",2020-06-24,14052
"110",2020-06-25,14034
"111",2020-06-26,14304
"112",2020-06-27,14200
"113",2020-06-28,14027
"114",2020-06-29,13561
"115",2020-06-30,13377
"116",2020-07-01,13635
"117",2020-07-02,13471
"118",2020-07-03,13478
"119",2020-07-04,13452
"120",2020-07-05,13057
"121",2020-07-06,13394
"122",2020-07-07,13248
"123",2020-07-08,13100
"124",2020-07-09,13082
"125",2020-07-10,12682
"126",2020-07-11,12383
"127",2020-07-12,12434
"128",2020-07-13,12664
"129",2020-07-14,12326
"130",2020-07-15,12052
"131",2020-07-16,12193
"132",2020-07-17,12556
"133",2020-07-18,12298
"134",2020-07-19,12004
"135",2020-07-20,11833
"136",2020-07-21,11053
"137",2020-07-22,10941
"138",2020-07-23,10830
